LP	Nr produktu 1	Nr produktu 2	Grupa	Nazwa produktu	Producent	Cena netto	Cena brutto
1	OPR.178874	61306705	CP	angelo futuro vm1100 col.1 	ANGELO FUTURO 	173	211,06
2	OPR.178875	61306712	CP	angelo   futuro vm1100 col.2 	ANGELO FUTURO 	180,96	220,7712
3	OPR.178876	61306719	CP	angelo    futuro    vm1100 col.3 	ANGELO FUTURO 	134,94	164,6268
4	OPR.155503	61101878	HM	hera & luna hl0765 col.1 	HERA & LUNA 	152,1	185,562
5	OPR.155504	61101885	HM	HERA &  LUNA HL0765 COL.2 	HERA & LUNA 	66,3	80,886
6	OPR.160563	61146923	HM	  hera & luna hl-765 col.3 	HERA & LUNA 	210,6	256,932
7	OPR.162006	61158613	HM	 hera & luna hl825 col.2    	HERA & LUNA 	221,52	270,2544
8	OPR.162565	61162834	HM	HERA & LUNA HL0825 COL.1 	HERA & LUNA 	63,96	78,0312
9	OPR.162994	61167594	HM	ANGELO FUTURO AFT765 COL.2    	ANGELO FUTURO 	94,38	115,1436
10	OPR.165079	61185724	HM	ANGELO FUTURO AFT765 COL.1 	ANGELO FUTURO 	99,84	121,8048
11	OPR.173918	61265062	HM	hunter   ht803   c2 	HUNTER 	108,42	132,2724
12	OPR.179618	61312032	HM	gentleman gt1103 col.2 	GENTLEMAN 	183,3	223,626
13	OPR.155433	61101388	HP	angelo futuro af2540 col.3 	ANGELO FUTURO 	159,9	195,078
14	OPR.137188	60394086	LM	angelo futuro fa033 gun 	ANGELO FUTURO 	288,6	352,092
15	OPR.137189	60394093	LM	angelo futuro fa033 m.coffee 	ANGELO FUTURO 	180,96	220,7712
16	OPR.139367	60415513	LM	HERA & LUNA FA062 COL.1 	HERA & LUNA 	66,3	80,886
17	OPR.139372	60415548	LM	angelo futuro af60028 col.3 	ANGELO FUTURO 	224,64	274,0608
18	OPR.139690	60417837	LM	hera & luna hl1183 col.1 	HERA & LUNA 	173,16	211,2552
19	OPR.139692	60417851	LM	HERA & LUNA    HL1183 COL.3 	HERA & LUNA 	39,78	48,5316
20	OPR.139707	60417956	LM	hera & luna     hl6180 col.3 	HERA & LUNA 	279,24	340,6728
21	OPR.144291	61003374	LM	hera & luna hl4134 col.2 	HERA & LUNA 	103,74	126,5628
22	OPR.144293	61003388	LM	hera & luna     hl135 col.1 	HERA & LUNA 	237,9	290,238
23	OPR.144296	61003409	LM	hera & luna hl4471 col.2 	HERA & LUNA 	186,42	227,4324
24	OPR.144640	61007665	LM	HERA & LUNA     HL4831C COL.2 	HERA & LUNA 	33,54	40,9188
25	OPR.144641	61007672	LM	hera & luna     hl4831c col.3 	HERA & LUNA 	131,82	160,8204
26	OPR.144642	61007679	LM	hera & luna hl2277 col.1 	HERA & LUNA 	103,74	126,5628
27	OPR.144778	61010983	LM	ANGELO FUTURO A603 COL.17 	ANGELO FUTURO 	48,36	58,9992
28	OPR.144780	61010997	LM	angelo futuro a603 col.19 	ANGELO FUTURO 	155,22	189,3684
29	OPR.144781	61011004	LM	angelo futuro a604 col.20 	ANGELO FUTURO 	171,6	209,352
30	OPR.144782	61011011	LM	angelo futuro a604 col.21 	ANGELO FUTURO 	120,12	146,5464
31	OPR.144798	61011123	LM	HERA & LUNA HL119 COL.2 	HERA & LUNA 	70,2	85,644
32	OPR.145548	61018011	LM	hera & luna hl2647 col.1 	HERA & LUNA 	261,3	318,786
33	OPR.145549	61018018	LM	hera & luna hl2647 col.2 	HERA & LUNA 	149,76	182,7072
34	OPR.145551	61018032	LM	HERA & LUNA HL119 COL.1 	HERA & LUNA 	47,58	58,0476
35	OPR.145553	61018046	LM	hera & luna hl2677 col.2 	HERA & LUNA 	166,14	202,6908
36	OPR.145554	61018053	LM	hera & luna hl2677 col.3 	HERA & LUNA 	173,16	211,2552
37	OPR.145555	61018060	LM	hera & luna hl2639 col.1 	HERA & LUNA 	304,2	371,124
38	OPR.145556	61018067	LM	HERA & LUNA HL2639 COL.2 	HERA & LUNA 	74,88	91,3536
39	OPR.145557	61018074	LM	hera & luna hl2639 col.3 	HERA & LUNA 	271,44	331,1568
40	OPR.145581	61018242	LM	ANGELO FUTURO SF2559 COL.3 	ANGELO FUTURO 	51,48	62,8056
41	OPR.145924	61022946	LM	angelo futuro af2852 col.1 	ANGELO FUTURO 	308,1	375,882
42	OPR.145925	61022953	LM	angelo futuro af2852 col.2 	ANGELO FUTURO 	104,52	127,5144
43	OPR.146254	61025529	LM	hera & luna hl4134 col.2 	HERA & LUNA 	265,2	323,544
44	OPR.146267	61025620	LM	angelo futuro af3312a col.1 	ANGELO FUTURO 	237,9	290,238
45	OPR.146268	61025627	LM	angelo futuro af3312a col.2 	ANGELO FUTURO 	153,66	187,4652
46	OPR.146338	61026145	LM	HERA & LUNA HL ANIHC COL.3 	HERA & LUNA 	90,48	110,3856
47	OPR.146339	61026152	LM	hera & luna hl119 col.3 	HERA & LUNA 	291,72	355,8984
48	OPR.146340	61026159	LM	hera & luna hl1703 col.3 	HERA & LUNA 	257,4	314,028
49	OPR.147111	61031983	LM	hera & luna hl135 col.4 	HERA & LUNA 	246,48	300,7056
