Agent First and Last Activity									
Date Time Range: 2015-08-01 - 2015-11-03									
									
Activity Time Range:	NA								
									
Site ID Range:	NA								
									
Agents /Workgroups:	NA								
									
									
									
	Data		Agent ID		Czas zalogowania		Czas wylogowania		IloϾ sprzedanych polis
									
	2015-08-01								
									
			1257		09:49:03		18:08:08		6
									
			4567		09:57:20		18:00:12		4
									
			2910		09:43:47		18:00:48		15
									
			4778		09:57:36		18:00:39		0
									
			3948		09:51:14		18:00:48		0
									
			3898		09:58:18		18:00:34		5
									
			4348		09:45:07		18:01:40		10
									
									
									
							Print Date: 5 listopad 2015  12:21:56		
									
									
									
	2015-08-02								
									
			5279		09:59:37		18:00:17		13
									
			1570		10:10:15		18:00:10		9
									
			1567		10:09:29		18:00:31		6
									
			3329		10:04:07		18:00:14		5
									
			3830		09:22:13		17:59:29		3
									
									
									
							Print Date: 5 listopad 2015  12:21:56		
									
									
									
	2015-08-03								
									
			4102		13:41:42		22:00:07		7
									
			2518		07:56:01		16:00:42		10
									
			2081		11:57:34		20:02:47		10
									
			4016		13:59:59		22:00:04		3
									
			3105		08:01:44		14:00:16		2
									
			4329		06:17:28		15:00:48		17
									
			1896		07:36:26		15:00:10		1
									
			4999		11:29:20		20:00:37		8
									
			1540		07:35:14		16:01:59		11
									
			5073		07:59:36		16:09:05		9
									
			1622		07:48:58		16:01:43		13
									
			2494		07:59:29		16:00:11		10
									
			4692		09:45:53		16:00:45		8
									
			2969		07:40:52		17:07:20		9
									
			1515		07:45:50		14:00:07		2
									
			5137		14:06:10		22:00:24		9
									
			4096		13:49:48		22:00:04		1
									
			4474		07:44:58		16:00:20		7
									
			5207		14:03:28		22:04:32		2
									
			5075		09:34:22		18:37:07		8
									
			4800		07:57:37		14:02:16		9
									
			3508		14:02:23		22:00:03		12
									
			1540		07:34:48		16:01:00		7
									
			1786		12:47:32		21:59:34		12
									
			4679		15:50:21		22:00:19		1
									
			1205		13:58:05		22:00:08		15
									
									
									
							Print Date: 5 listopad 2015  12:21:56		
									
									
									
	2015-08-04								
									
			2480		07:51:46		14:00:05		3
									
			2915		09:33:03		17:58:18		12
									
			1030		07:57:42		16:00:06		3
									
			3381		12:50:20		20:01:03		6
									
			4920		13:58:02		21:59:23		9
									
			2983		07:52:06		14:00:04		5
									
			1910		08:00:29		14:00:06		3
									
			1266		06:17:57		15:02:04		13
									
			2369		09:26:18		18:02:41		7
									
			3511		11:16:58		20:00:23		6
									
			2626		07:20:56		15:59:45		3
									
			2290		07:43:43		14:01:12		7
									
			3584		07:51:51		16:03:00		6
									
			3110		07:53:32		16:00:32		8
									
			1727		07:47:42		14:02:26		3
									
			1486		07:48:27		14:00:05		2
									
			2610		13:54:53		21:42:44		0
									
			2855		07:51:03		16:00:13		12
									
			1548		13:17:37		21:45:29		1
									
			2279		14:02:38		21:59:58		9
									
			2079		14:02:57		21:00:14		8
									
			1201		14:04:20		21:43:42		3
									
